Race Name,Constrained,KmeansClust
2017 4 Jours de Dunkerque ,1,3
2017 99a Coppa Bernocchi - 42o GP BPM,2,2
2017 Abu Dhabi Tour Stage 1,1,7
2017 Abu Dhabi Tour Stage 3,0,4
2017 Abu Dhabi Tour Stage 4,4,6
2017 ACC Asian Road Championships - ITT,5,0
2017 ACC Asian Road Championships - TTT,5,0
2017 ACC Asian Road Championships,5,3
2017 Amgen Tour of California Stage 1,1,3
2017 Amgen Tour of California Stage 2,0,4
2017 Amgen Tour of California Stage 3,1,5
2017 Amgen Tour of California Stage 4,2,8
2017 Amgen Tour of California Stage 5,0,4
2017 Amgen Tour of California Stage 6,3,0
2017 Amgen Tour of California Stage 7,2,1
2017 Arctic Race of Norway Stage 1,2,8
2017 Arctic Race of Norway Stage 2,2,8
2017 Australian Road National Championships - ITT,5,0
2017 Australian Road National Championships,6,2
2017 Austrian Road National Championships,2,1
2017 Baloise Belgium Tour Stage 2,6,3
2017 Baloise Belgium Tour Stage 3,5,0
2017 Baloise Belgium Tour Stage 4,2,2
2017 Belgian Road National Championships - ITT,5,0
2017 Belgian Road National Championships,6,3
2017 BeNe Ladies Tour Prologue,5,0
2017 BeNe Ladies Tour Stage 2-1,6,3
2017 BeNe Ladies Tour Stage 2-2,5,0
2017 BeNe Ladies Tour Stage 3,6,3
2017 Binche - Chimay - Binche (Memorial Frank Vandenbroucke),1,5
2017 BinckBank Tour Stage 3,6,3
2017 Boels Rentals Ladies Tour Prologue,5,0
2017 Boucles de l'Aulne - Chateaulin,2,2
2017 Boucles de la Mayenne Prologue,5,0
2017 Boucles de la Mayenne Stage 1,1,3
2017 Boucles de la Mayenne Stage 2,2,2
2017 Boucles de la Mayenne Stage 3,1,5
2017 Bretagne Classic - Ouest France,2,2
2017 British Road National Championships - ITT,5,0
2017 British Road National Championships,2,8
2017 CAC African Road Championships - ITT,5,0
2017 CAC African Road Championships - TTT,5,0
2017 CAC African Road Championships,5,7
2017 Canadian Road National Championships - ITT,5,0
2017 Canadian Road National Championships,1,7
2017 Chrono des Nations,5,0
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 1,2,5
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 2-1,5,0
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 2-2,5,0
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 3,2,1
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 4,1,3
2017 Circuito de Getxo - Memorial Ricardo Otxoa,6,3
2017 Clasica de Almeria,2,5
2017 Classic Loire Atlantique,1,3
2017 Colombian Road National Championships - ITT,3,0
2017 Colorado Classic Stage 2,3,1
2017 Colorado Classic Stage 4,3,3
2017 COPACI Campeonato Panamericano de Ruta - ITT,5,0
2017 COPACI Campeonato Panamericano de Ruta,5,0
2017 Coppa Agostoni - Giro delle Brianze,2,1
2017 Coppa Sabatini,2,2
2017 Crescent Vargarda TTT,5,0
2017 Crescent Vargarda,6,3
2017 Criterium du Dauphine Stage 2,0,4
2017 Criterium du Dauphine Stage 3,2,1
2017 Criterium du Dauphine Stage 4,5,0
2017 Criterium du Dauphine Stage 5,2,2
2017 Criterium du Dauphine Stage 7,0,4
2017 Criterium du Dauphine Stage 8,0,4
2017 Czech Cycling Tour Stage 1,5,0
2017 Czech Cycling Tour Stage 4,2,5
2017 Czech Republic Road National Championships - ITT,5,0
2017 Danilith - Nokere Koerse,6,3
2017 Danish Road National Championships - ITT,5,0
2017 De Brabantse Pijl - La Fleche Brabanconne,6,3
2017 Driedaagse De Panne - Koksijde Stage 3-2,5,0
2017 Druivenkoers - Overijse,6,3
2017 Dubai Tour Stage 3,4,6
2017 Duo Normand,5,0
2017 Dwars door het Hageland - Aarschot,6,3
2017 Emakumeen XXX. Bira Stage 1,5,0
2017 Emakumeen XXX. Bira Stage 3,1,8
2017 Emakumeen XXX. Bira Stage 4,2,8
2017 Emakumeen XXX. Bira Stage 5,2,8
2017 Etoile de Besseges Stage 1,1,7
2017 Etoile de Besseges Stage 2,1,3
2017 Etoile de Besseges Stage 4,1,5
2017 Etoile de Besseges Stage 5,5,0
2017 Famenne Ardenne Classic,2,2
2017 Faun Environnement - Classic de l'Ardeche Rhone Crussol,2,1
2017 Festival Elsy Jacobs Prologue,5,0
2017 Festival Elsy Jacobs Stage 1,1,0
2017 Festival Elsy Jacobs Stage 2,2,5
2017 French Road National Championships - ITT,5,0
2017 French Road National Championships,6,2
2017 German Road National Championships - ITT,5,0
2017 Giro Ciclistico d'Italia Stage 1,2,8
2017 Giro Ciclistico d'Italia Stage 2,2,5
2017 Giro Ciclistico d'Italia Stage 3,2,8
2017 Giro Ciclistico d'Italia Stage 4,1,5
2017 Giro Ciclistico d'Italia Stage 5-1,1,5
2017 Giro Ciclistico d'Italia Stage 5-2,5,0
2017 Giro Ciclistico d'Italia Stage 6,2,8
2017 Giro Ciclistico d'Italia Stage 7,0,4
2017 Giro d'Italia Femminile Internazionale Stage 1,5,0
2017 Giro d'Italia Femminile Internazionale Stage 3,1,5
2017 Giro d'Italia Femminile Internazionale Stage 5,5,0
2017 Giro d'Italia Femminile Internazionale Stage 6,1,7
2017 Giro d'Italia Femminile Internazionale Stage 7,2,8
2017 Giro d'Italia Femminile Internazionale Stage 8,2,1
2017 Giro d'Italia Femminile Internazionale Stage 9,2,8
2017 Giro d'Italia Stage 10,5,0
2017 Giro d'Italia Stage 11,0,4
2017 Giro d'Italia Stage 14,0,4
2017 Giro d'Italia Stage 15,2,1
2017 Giro d'Italia Stage 2,0,4
2017 Giro d'Italia Stage 20,0,4
2017 Giro d'Italia Stage 21,5,0
2017 Giro d'Italia Stage 3,4,2
2017 Giro d'Italia Stage 6,2,8
2017 Giro d'Italia Stage 7,2,8
2017 Giro d'Italia Stage 8,2,1
2017 Giro d'Italia Stage 9,0,4
2017 Giro della Toscana Stage 1,1,2
2017 Giro della Toscana Stage 2,2,1
2017 GP Beiras e Serra da Estrela Stage 1,2,1
2017 GP Beiras e Serra da Estrela Stage 2,2,1
2017 GP Beiras e Serra da Estrela Stage 3,0,4
2017 GP de Denain - Porte du Hainaut ,1,3
2017 GP de Fourmies ,1,5
2017 GP de Plouay - Lorient Agglomeration,1,5
2017 GP du Canton d'Argovie,2,2
2017 GP Industria & Artigianato,2,1
2017 Gran Premio Beghelli Internazionale Donne Elite,1,0
2017 Gran Premio Bruno Beghelli,1,2
2017 Gran Premio Costa degli Etruschi,1,5
2017 Gran Premio Miguel Indurain,2,1
2017 Grand Prix Cerami,6,3
2017 Grand Prix Cycliste la Marseillaise,2,1
2017 Grand Prix d'Isbergues - Pas de Calais,6,3
2017 Grand Prix de la Somme ,1,5
2017 Grand Prix de Plumelec-Morbihan,2,2
2017 Grand Prix de Wallonie,2,2
2017 Grote Prijs Jef Scherens - Rondom Leuven,6,3
2017 Halle-Ingooigem,6,3
2017 Hammer Series - Hammer Sportzone Limburg Stage 1,1,5
2017 Hammer Series - Hammer Sportzone Limburg Stage 2,5,0
2017 Hammer Series - Hammer Sportzone Limburg Stage 3,5,0
2017 Handzame Classic,6,3
2017 Herald Sun Tour Prologue,5,0
2017 Herald Sun Tour Stage 1,0,4
2017 Herald Sun Tour Stage 2,2,8
2017 Herald Sun Tour Stage 3,1,8
2017 Herald Sun Tour Stage 4,2,5
2017 Internationale Thuringen Rundfahrt der Frauen Prologue,5,0
2017 Internationale Thuringen Rundfahrt der Frauen Stage 1,2,8
2017 Internationale Thuringen Rundfahrt der Frauen Stage 2,1,5
2017 Internationale Thuringen Rundfahrt der Frauen Stage 3,2,8
2017 Internationale Thuringen Rundfahrt der Frauen Stage 4,5,0
2017 Internationale Thuringen Rundfahrt der Frauen Stage 5,1,5
2017 Internationale Thuringen Rundfahrt der Frauen Stage 6,5,0
2017 Irish Road National Championship - ITT,5,0
2017 Irish Road National Championship,1,3
2017 Italian Road National Championships - ITT,5,0
2017 Kampioenschap van Vlaanderen,6,3
2017 Klasika Primavera de Amorebieta,2,8
2017 La Classique Morbihan,1,5
2017 La Course by Le Tour de France,0,4
2017 La Fleche Wallonne Femmes,1,5
2017 La Fleche Wallonne,2,2
2017 La Poly Normande,1,2
2017 La Roue Tourangelle Region Centre Val de Loire - Trophee Harmonie Mutuelle,1,3
2017 La Tropicale Amissa Bongo Stage 1,4,6
2017 La Tropicale Amissa Bongo Stage 2,4,6
2017 La Tropicale Amissa Bongo Stage 3,7,6
2017 La Tropicale Amissa Bongo Stage 5,4,6
2017 La Tropicale Amissa Bongo Stage 6,5,0
2017 La Tropicale Amissa Bongo Stage 7,5,0
2017 Le Samyn des Dames,6,3
2017 Le Samyn,6,3
2017 Le Tour de France Saitama Criterium,5,0
2017 Le Tour de France Shanghai Criterium,5,0
2017 Le Tour de Langkawi Stage 1,1,7
2017 Le Tour de Langkawi Stage 2,0,4
2017 Le Tour de Langkawi Stage 3,5,7
2017 Le Tour de Langkawi Stage 4,0,4
2017 Le Tour de Langkawi Stage 5,1,7
2017 Le Tour de Langkawi Stage 6,1,7
2017 Le Tour de Langkawi Stage 7,1,7
2017 Le Tour de Langkawi Stage 8,1,7
2017 Liege - Bastogne - Liege Femmes,2,2
2017 Liege - Bastogne - Liege,2,2
2017 Lotto Belgium Tour Prologue,5,0
2017 Lotto Belgium Tour Stage 1,6,3
2017 Lotto Belgium Tour Stage 2,6,3
2017 Lotto Belgium Tour Stage 3,6,3
2017 Luxembourg Road National Championships - ITT,5,0
2017 Luxembourg Road National Championships,1,2
2017 Memorial Pantani,2,1
2017 Milano - Torino,2,8
2017 New Zealand Road National Championships - ITT,5,0
2017 New Zealand Road National Championships,6,3
2017 Norvegian Road National Championships,2,2
2017 Norwegian Road National Championships - ITT,5,0
2017 OCC Oceanian Championships - ITT,5,0
2017 OCC Oceanian Championships,2,5
2017 Omloop Eurometropool,6,3
2017 Omloop Mandel-Leie-Schelde Meulebeke,6,3
2017 Osterreich Rundfahrt Stage 1,2,7
2017 Osterreich Rundfahrt Stage 6,2,1
2017 OVO Energy Tour of Britain Stage 1,2,8
2017 OVO Energy Tour of Britain Stage 3,1,7
2017 OVO Energy Tour of Britain Stage 5,5,0
2017 OVO Energy Tour of Britain Stage 7,2,5
2017 Paris - Bourges,2,5
2017 Paris - Camembert,2,2
2017 Paris - Tours,1,5
2017 Paris-Nice Stage 1,1,5
2017 Paris-Nice Stage 2,1,7
2017 Paris-Nice Stage 4,5,0
2017 Paris-Nice Stage 5,2,1
2017 Paris-Nice Stage 6,2,1
2017 Paris-Nice Stage 7,0,4
2017 Paris-Nice Stage 8,2,1
2017 People's Choice Classic,5,0
2017 Portugal National Road Championships - ITT,5,0
2017 Portugal Road National Championships,2,2
2017 PostNord Danmark Rundt - Tour of Denmark Stage 2,1,3
2017 PostNord Danmark Rundt - Tour of Denmark Stage 4,5,0
2017 Presidential Cycling Tour of Turkey Stage 2,2,1
2017 Presidential Cycling Tour of Turkey Stage 3,2,8
2017 Presidential Cycling Tour of Turkey Stage 4,0,1
2017 Presidential Cycling Tour of Turkey Stage 5,2,8
2017 Prudential RideLondon Classique,5,0
2017 Ronde de l'Isard Stage 1,2,5
2017 Ronde de l'Isard Stage 2,0,4
2017 Ronde de l'Isard Stage 3,0,4
2017 Ronde de l'Isard Stage 4,0,1
2017 Route Adelie de Vitre,1,3
2017 Route du Sud - La Depeche du Midi Stage 1,0,4
2017 Route du Sud - La Depeche du Midi Stage 2,1,5
2017 Route du Sud - La Depeche du Midi Stage 4,1,5
2017 Royal Bernard Drome Classic,2,2
2017 Rund um Koln,2,2
2017 Russian Road National Championships ITT,5,0
2017 Santos Tour Down Under Stage 1,1,8
2017 Santos Tour Down Under Stage 2,2,2
2017 Santos Tour Down Under Stage 3,1,7
2017 Santos Tour Down Under Stage 4,2,8
2017 Santos Tour Down Under Stage 5,2,8
2017 Sibiu Cycling Tour Stage 1,2,1
2017 Sibiu Cycling Tour Stage 3,0,4
2017 Sibiu Cycling Tour Stage 4,1,5
2017 Slovakian Road National Championships - ITT,5,0
2017 Sluitingsprijs Putte-Kapellen,6,3
2017 South African Road National Championships - ITT,5,0
2017 South African Road National Championships,1,3
2017 Spanish Road National Championships - ITT,5,0
2017 Spanish Road National Championships,2,1
2017 SPAR Flanders Diamond Tour,6,3
2017 Spar omloop van Het Hageland,6,3
2017 Ster ZLM Toer GP Jan van Heeswijk Stage 3,2,2
2017 Strade Bianche,2,2
2017 Swedish Road National Championships - ITT,5,0
2017 Swedish Road National Championships,6,3
2017 Swiss Road National Championships - ITT,5,0
2017 Swiss Road National Championships,2,2
2017 Szlakiem Walk Majora Hubala Stage 2-1,5,0
2017 Szlakiem Walk Majora Hubala Stage 3,1,3
2017 The Larry H.Miller Tour of Utah Stage 2,3,1
2017 The Larry H.Miller Tour of Utah Stage 3,3,0
2017 The Larry H.Miller Tour of Utah Stage 4,3,8
2017 The Larry H.Miller Tour of Utah Stage 7,6,3
2017 Tirreno-Adriatico Stage 1,5,0
2017 Tirreno-Adriatico Stage 3,2,1
2017 Tour Cycliste International du Haut Var-matin Stage 1,2,1
2017 Tour Cycliste International du Haut Var-matin Stage 2,2,1
2017 Tour Cycliste International La Provence Stage 1,2,5
2017 Tour Cycliste International La Provence Stage 2,2,8
2017 Tour Cycliste International La Provence Stage 3,2,1
2017 Tour d'Azerbaidjan Stage 1,1,7
2017 Tour d'Azerbaidjan Stage 2,0,4
2017 Tour d'Azerbaidjan Stage 3,2,8
2017 Tour d'Azerbaidjan Stage 4,0,4
2017 Tour de France Stage 1,5,0
2017 Tour de France Stage 10,1,7
2017 Tour de France Stage 11,1,7
2017 Tour de France Stage 12,0,4
2017 Tour de France Stage 13,0,4
2017 Tour de France Stage 14,2,8
2017 Tour de France Stage 15,0,4
2017 Tour de France Stage 16,2,1
2017 Tour de France Stage 17,0,4
2017 Tour de France Stage 18,0,4
2017 Tour de France Stage 5,0,4
2017 Tour de France Stage 7,2,8
2017 Tour de France Stage 8,0,4
2017 Tour de l'Ain Prologue,5,0
2017 Tour de l'Ain Stage 1,1,5
2017 Tour de l'Ain Stage 2,1,5
2017 Tour de l'Ain Stage 3,2,1
2017 Tour de l'Avenir Stage 1,1,5
2017 Tour de l'Avenir Stage 2,1,5
2017 Tour de l'Avenir Stage 3,1,3
2017 Tour de l'Avenir Stage 4,1,5
2017 Tour de l'Avenir Stage 6,1,5
2017 Tour de l'Avenir Stage 7,0,4
2017 Tour de l'Avenir Stage 8,0,4
2017 Tour de l'Eurometropole,1,5
2017 Tour de Luxembourg Stage 1,1,5
2017 Tour de Luxembourg Stage 2,2,2
2017 Tour de Normandie Stage 1,1,5
2017 Tour de Normandie Stage 2,1,5
2017 Tour de Normandie Stage 3,1,5
2017 Tour de Normandie Stage 4,1,7
2017 Tour de Normandie Stage 6,2,5
2017 Tour de Romandie Prologue,5,0
2017 Tour de Romandie Stage 2,2,1
2017 Tour de Suisse Prologue,5,0
2017 Tour de Suisse Stage 1,2,1
2017 Tour de Suisse Stage 3,0,4
2017 Tour de Suisse Stage 7,1,5
2017 Tour de Taiwan Stage 2,2,8
2017 Tour de Taiwan Stage 3,2,8
2017 Tour de Taiwan Stage 4,2,1
2017 Tour de Taiwan Stage 5,1,7
2017 Tour de Vendee,1,5
2017 Tour de Yorkshire Stage 1,2,5
2017 Tour de Yorkshire Stage 3,2,2
2017 Tour des Fjords Stage 1,2,1
2017 Tour des Fjords Stage 4,2,8
2017 Tour du Finistere,2,2
2017 Tour du Limousin Stage 1,2,5
2017 Tour du Limousin Stage 2,2,1
2017 Tour du Limousin Stage 3,0,4
2017 Tour du Limousin Stage 4,2,5
2017 Tour of Alberta Stage 1,0,1
2017 Tour of Alberta Stage 2,1,7
2017 Tour of Alberta Stage 3,1,3
2017 Tour of Alberta Stage 4,1,3
2017 Tour of Almaty Stage 1,6,3
2017 Tour of Almaty Stage 2,0,4
2017 Tour of California Stage 3,5,0
2017 Tour of California Stage 4,1,0
2017 Tour of Chongming Island Stage 1,4,6
2017 Tour of Chongming Island Stage 2,4,6
2017 Tour of Chongming Island Stage 3,4,6
2017 Tour of Fuzhou Stage 2,4,6
2017 Tour of Fuzhou Stage 3,4,6
2017 Tour of Fuzhou Stage 4,7,6
2017 Tour of Guangxi Stage 1,4,6
2017 Tour of Guangxi Stage 4,7,6
2017 Tour of Hainan Stage 2,7,6
2017 Tour of Hainan Stage 4,7,6
2017 Tour of Hainan Stage 5,7,6
2017 Tour of Hainan Stage 6,7,6
2017 Tour of Hainan Stage 7,7,6
2017 Tour of Japan Prologue,5,0
2017 Tour of Japan Stage 1,2,5
2017 Tour of Japan Stage 2,2,2
2017 Tour of Japan Stage 3,2,5
2017 Tour of Japan Stage 4,2,2
2017 Tour of Japan Stage 5,0,4
2017 Tour of Japan Stage 6,6,2
2017 Tour of Japan Stage 7,5,7
2017 Tour of Norway Stage 3,2,1
2017 Tour of Norway Stage 4,1,7
2017 Tour of Oman Stage 1,1,7
2017 Tour of Oman Stage 2,2,8
2017 Tour of Oman Stage 3,2,8
2017 Tour of Oman Stage 4,2,8
2017 Tour of Oman Stage 6,1,7
2017 Tour of Qinghai Lake Stage 1,7,6
2017 Tour of Qinghai Lake Stage 10,7,6
2017 Tour of Qinghai Lake Stage 12,4,6
2017 Tour of Qinghai Lake Stage 13,4,6
2017 Tour of Qinghai Lake Stage 2,4,6
2017 Tour of Qinghai Lake Stage 5,7,6
2017 Tour of Qinghai Lake Stage 6,3,4
2017 Tour of Qinghai Lake Stage 7,7,6
2017 Tour of Qinghai Lake Stage 8,7,6
2017 Tour of Qinghai Lake Stage 9,7,6
2017 Tour of Slovaquie Stage 2,2,5
2017 Tour of Slovaquie Stage 3,2,2
2017 Tour of Thailand Stage 1,1,7
2017 Tour of Thailand Stage 2,1,7
2017 Tour of Thailand Stage 3,5,7
2017 Tour of Thailand Stage 4,5,3
2017 Tour of Thailand Stage 5,2,8
2017 Tour of the Alps Stage 3,0,4
2017 Tour Poitou-Charentes Stage 1,1,7
2017 Tour Poitou-Charentes Stage 2,1,5
2017 Tour Poitou-Charentes Stage 3-1,5,0
2017 Tour Poitou-Charentes Stage 3-2,5,0
2017 Tour Poitou-Charentes Stage 4,1,3
2017 Tre Valli Varesine,2,2
2017 Trofee Maarten Wynants,6,3
2017 Trofeo Alfredo Binda - Comune di Cittiglio,2,5
2017 Trofeo Andratx-Mirador des Colomer,0,4
2017 Trofeo Laigueglia,2,1
2017 Trofeo Matteotti,2,2
2017 Trofeo Palma,2,8
2017 Trofeo Porreres-Felanitx-Ses Salines-Campos,1,5
2017 Trofeo Serra de Tramuntana,0,4
2017 UCI Road World Championships - TTT,5,0
2017 UEC European Championships - ITT,5,0
2017 USA Road National Championships - ITT,5,0
2017 USA Road National Championships,6,2
2017 Volta a la Comunitat Valenciana Stage 1,5,0
2017 Volta a la Comunitat Valenciana Stage 2,2,1
2017 Volta a la Comunitat Valenciana Stage 4,0,4
2017 Volta a Portugal em Bicicleta Santander Totta Prologue,5,0
2017 Volta a Portugal em Bicicleta Santander Totta Stage 10,5,0
2017 Volta a Portugal em Bicicleta Santander Totta Stage 2,2,8
2017 Volta a Portugal em Bicicleta Santander Totta Stage 3,2,1
2017 Volta a Portugal em Bicicleta Santander Totta Stage 4,0,1
2017 Volta a Portugal em Bicicleta Santander Totta Stage 6,2,1
2017 Volta a Portugal em Bicicleta Santander Totta Stage 7,2,8
2017 Volta a Portugal em Bicicleta Santander Totta Stage 8,2,8
2017 Volta ao Alentejo Stage 1,2,8
2017 Volta ao Alentejo Stage 2,2,7
2017 Volta ao Alentejo Stage 3,1,5
2017 Volta ao Alentejo Stage 4,1,7
2017 Volta ao Alentejo Stage 5,2,8
2017 Volta ao Algarve em Bicicleta Stage 1,2,8
2017 Volta ao Algarve em Bicicleta Stage 3,5,0
2017 Volta ao Algarve em Bicicleta Stage 4,1,5
2017 Volta ao Algarve em Bicicleta Stage 5,2,1
2017 Volta Ciclista a Catalunya Stage 1,0,1
2017 Volta Ciclista a Catalunya Stage 2,5,0
2017 Volta Ciclista a Catalunya Stage 3,0,4
2017 Volta Ciclista a Catalunya Stage 5,0,4
2017 VOO-Tour de Wallonie Stage 1,2,2
2017 VOO-Tour de Wallonie Stage 2,2,2
2017 VOO-Tour de Wallonie Stage 3,2,5
2017 VOO-Tour de Wallonie Stage 5,1,5
2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 1,0,4
2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 2,0,4
2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 3,5,0
2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 4,2,5
2017 Vuelta a Andalucia Ruta Ciclista Del Sol Stage 5,2,5
2017 Vuelta a Asturias Stage 2,0,4
2017 Vuelta a Asturias Stage 3,2,8
2017 Vuelta a Burgos Stage 1,1,5
2017 Vuelta a Burgos Stage 2,2,8
2017 Vuelta a Burgos Stage 3,0,4
2017 Vuelta a Burgos Stage 4,1,5
2017 Vuelta a Burgos Stage 5,0,4
2017 Vuelta a Castilla y Leon Stage 1,2,8
2017 Vuelta a Castilla y Leon Stage 2,0,1
2017 Vuelta a Castilla y Leon Stage 3,0,1
2017 Vuelta a Espana Stage 1,5,0
2017 Vuelta a Espana Stage 10,0,1
2017 Vuelta a Espana Stage 11,0,4
2017 Vuelta a Espana Stage 14,0,4
2017 Vuelta a Espana Stage 16,5,0
2017 Vuelta a Espana Stage 17,0,4
2017 Vuelta a Espana Stage 18,2,1
2017 Vuelta a Espana Stage 20,0,4
2017 Vuelta a Espana Stage 5,0,4
2017 Vuelta a Espana Stage 6,2,1
2017 Vuelta a Espana Stage 8,2,1
2017 Vuelta a Espana Stage 9,2,8
2017 Vuelta al Pais Vasco Stage 1,2,8
2017 Vuelta al Pais Vasco Stage 2,2,1
2017 Vuelta al Pais Vasco Stage 5,2,1
2017 Vuelta al Pais Vasco Stage 6,5,0
2017 Vuelta Ciclista a la Comunidad de Madrid Stage 1,0,4
2017 Vuelta Ciclista a la Comunidad de Madrid Stage 2,1,7
2017 Vuelta Ciclista a la Comunidad de Madrid Stage 3,5,7
2017 Vuelta Ciclista a la Provincia de San Juan Stage 1,1,7
2017 Vuelta Ciclista a la Provincia de San Juan Stage 3,5,0
2017 Vuelta Ciclista a la Provincia de San Juan Stage 4,6,3
2017 Vuelta Ciclista a la Provincia de San Juan Stage 6,1,7
2017 Vuelta Ciclista a la Region de Murcia,0,1
2017 Vuelta Ciclista a La Rioja,1,8
2017 Winston-Salem Cycling Classic,6,3
2018 100 Cycle Challenge,3,8
2018 100a Coppa Bernocchi - 43o GP BPM,2,5
2018 11esimo Tr. Citta di S. Vendemiano - 58esimo GP Industria & Commercio,1,5
2018 1o Giro del Nordest d'Italia Stage 1,5,0
2018 1o Giro del Nordest d'Italia Stage 2,5,0
2018 1o Giro del Nordest d'Italia Stage 3,0,4
2018 22esimo Gran Premio dell'Arno,1,5
2018 36e SPIE Internationale Juniorendriedaagse Stage 1,5,3
2018 36e SPIE Internationale Juniorendriedaagse Stage 3,6,3
2018 4 Jours de Dunkerque ,1,7
2018 43. Internationale Cottbuser Junioren-Etappenfahrt Stage 1,5,0
2018 43. Internationale Cottbuser Junioren-Etappenfahrt Stage 2-1,5,0
2018 43. Internationale Cottbuser Junioren-Etappenfahrt Stage 2-2,6,3
2018 43. Internationale Cottbuser Junioren-Etappenfahrt Stage 3,5,0
2018 44e Tour de Gironde International Stage 1-1,5,0
2018 44e Tour de Gironde International Stage 1-2,5,0
2018 44e Tour de Gironde International Stage 2,5,0
2018 49o Trofeo Buffoni,2,2
2018 50eme Tour Cycliste International du Haut Var Matin Stage 1,2,1
2018 50eme Tour Cycliste International du Haut Var Matin Stage 2,0,4
2018 54esimo Giro della Regione Friuli Venezia Giulia Stage 1,1,5
2018 54esimo Giro della Regione Friuli Venezia Giulia Stage 2,0,4
2018 54esimo Giro della Regione Friuli Venezia Giulia Stage 3,1,5
2018 57esimo G.P Palio del Recioto,2,1
2018 58 Vuelta a Guatemala Stage 1,1,8
2018 58 Vuelta a Guatemala Stage 10,3,7
2018 58 Vuelta a Guatemala Stage 2,2,8
2018 58 Vuelta a Guatemala Stage 3,0,4
2018 58 Vuelta a Guatemala Stage 4,1,7
2018 58 Vuelta a Guatemala Stage 5,5,0
2018 58 Vuelta a Guatemala Stage 6,3,8
2018 58 Vuelta a Guatemala Stage 7,3,1
2018 58 Vuelta a Guatemala Stage 8,3,8
2018 58 Vuelta a Guatemala Stage 9,3,8
2018 64esimo Trofeo Alcide Degasperi,2,1
2018 6eme Tour des Portes du Pays d'Othe Stage 1,1,5
2018 6eme Tour des Portes du Pays d'Othe Stage 2-1,5,0
2018 6eme Tour des Portes du Pays d'Othe Stage 2-2,1,0
2018 A Travers les Hauts de France ,1,3
2018 Abu Dhabi Tour Stage 1,1,7
2018 Abu Dhabi Tour Stage 2,1,7
2018 Abu Dhabi Tour Stage 5,0,4
2018 ACC Asian Road Championships - ITT,5,0
2018 ACC Asian Road Championships - TTT,5,0
2018 ACC Asian Road Championships,1,7
2018 ACC Asian Road Championsihps,5,0
2018 Ain Bugey Valromey Tour Stage 1,2,8
2018 Ain Bugey Valromey Tour Stage 2,1,5
2018 Amgen Tour of California Stage 3,2,1
2018 Amgen Tour of California Stage 4,5,0
2018 Amgen Tour of California Stage 5,1,7
2018 Amgen Tour of California Stage 7,1,3
2018 Arctic Race of Norway Stage 1,1,7
2018 Arctic Race of Norway Stage 2,2,8
2018 Arctic Race of Norway Stage 3,1,7
2018 Arctic Race of Norway Stage 4,1,7
2018 Aubel - Thimister - Stavelot Stage 1,1,5
2018 Aubel - Thimister - Stavelot Stage 2-1,5,0
2018 Aubel - Thimister - Stavelot Stage 2-2,1,5
2018 Aubel - Thimister - Stavelot Stage 3,2,5
2018 Australian Road National Championships - ITT,5,0
2018 Australian Road National Championships,1,3
2018 Austrian Road National Championships - ITT,5,0
2018 Austrian Road National Championships,6,3
2018 Baloise Belgium Tour Stage 1,6,3
2018 Baloise Belgium Tour Stage 3,5,0
2018 Baloise Belgium Tour Stage 4,2,2
2018 Baloise Belgium Tour Stage 5,6,3
2018 Baltic Chain Tour Prologue,5,0
2018 Baltic Chain Tour Stage 2,1,7
2018 Baltyk - Karkonosze Tour Stage 5,2,1
2018 Belgian Road National Championships - ITT,5,0
2018 Belgian Road National Championships,6,3
2018 Belgrade Banjaluka Stage 1,1,7
2018 Belgrade Banjaluka Stage 2,1,7
2018 BeNe Ladies Tour Prologue,5,0
2018 BeNe Ladies Tour Stage 1,6,3
2018 BeNe Ladies Tour Stage 2-1,6,3
2018 BeNe Ladies Tour Stage 2-2,5,0
2018 BeNe Ladies Tour Stage 3,6,3
2018 Bernaudeau Junior,1,3
2018 Binche-Chimay-Binche (Memorial Frank Vandenbroucke),1,5
2018 BinckBank Tour Stage 7,6,3
2018 Boels Ladies Tour Stage 2,6,3
2018 Boels Ladies Tour Stage 3,6,3
2018 Boucles de l'Aulne - Chateaulin,2,2
2018 Boucles de la Mayenne Prologue,5,0
2018 Boucles de la Mayenne Stage 1,1,5
2018 Boucles de la Mayenne Stage 3,1,5
2018 Brabantse Pijl,6,3
2018 Brasilian Road National Championships - ITT,5,0
2018 Brasilian Road National Championships,5,0
2018 Bretagne Classic - Ouest-France,2,2
2018 British Road National Championships - ITT,5,0
2018 British Road National Championships,1,5
2018 CAC African Road Championships - ITT,3,0
2018 CAC African Road Championships - TTT,3,0
2018 CAC African Road Championships,3,5
2018 Canadian Road National Championships - ITT,5,0
2018 Canadian Road National Championships,2,2
2018 Carpathian Couriers Race Stage 2-1,5,0
2018 Carpathian Couriers Race Stage 3,5,0
2018 Carpathian Couriers Race Stage 4,2,5
